대상,코드값,뜻,언제 사용,주의
app_user.health_data_consent_status,DENIED,목적별 동의 상태: DENIED,app_user.health_data_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.health_data_consent_status,REVOKED,목적별 동의 상태: REVOKED,app_user.health_data_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.schedule_consent_status,NOT_ASKED,목적별 동의 상태: NOT_ASKED,app_user.schedule_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.schedule_consent_status,GRANTED,목적별 동의 상태: GRANTED,app_user.schedule_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.schedule_consent_status,DENIED,목적별 동의 상태: DENIED,app_user.schedule_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.schedule_consent_status,REVOKED,목적별 동의 상태: REVOKED,app_user.schedule_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.guardian_sharing_consent_status,NOT_ASKED,목적별 동의 상태: NOT_ASKED,app_user.guardian_sharing_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.guardian_sharing_consent_status,GRANTED,목적별 동의 상태: GRANTED,app_user.guardian_sharing_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.guardian_sharing_consent_status,DENIED,목적별 동의 상태: DENIED,app_user.guardian_sharing_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.guardian_sharing_consent_status,REVOKED,목적별 동의 상태: REVOKED,app_user.guardian_sharing_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.care_management_permission_status,NOT_ASKED,목적별 동의 상태: NOT_ASKED,care_relationship.care_management_permission_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.care_management_permission_status,GRANTED,목적별 동의 상태: GRANTED,care_relationship.care_management_permission_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.care_management_permission_status,DENIED,목적별 동의 상태: DENIED,care_relationship.care_management_permission_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.care_management_permission_status,REVOKED,목적별 동의 상태: REVOKED,care_relationship.care_management_permission_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.priority,PRIMARY,보호자 우선순위: PRIMARY,care_relationship.priority의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.priority,SECONDARY,보호자 우선순위: SECONDARY,care_relationship.priority의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.status,PENDING,관계 상태: PENDING,care_relationship.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.status,ACTIVE,관계 상태: ACTIVE,care_relationship.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.status,DISCONNECT_REQUESTED,관계 상태: DISCONNECT_REQUESTED,care_relationship.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.status,ENDED,관계 상태: ENDED,care_relationship.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_relationship.status,REVOKED,관계 상태: REVOKED,care_relationship.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
robot.current_mode,IDLE,로봇 모드: IDLE,robot.current_mode의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
robot.current_mode,SCENARIO_ACTIVE,로봇 모드: SCENARIO_ACTIVE,robot.current_mode의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
robot.current_mode,REST_GUARD,로봇 모드: REST_GUARD,robot.current_mode의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
robot.current_mode,SAFE_STOP,로봇 모드: SAFE_STOP,robot.current_mode의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.started_channel,APP,최초 온보딩 채널: APP,onboarding_session.started_channel의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.started_channel,ROBOT,최초 온보딩 채널: ROBOT,onboarding_session.started_channel의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.status,IN_PROGRESS,온보딩 세션 상태: IN_PROGRESS,onboarding_session.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.status,COMPLETED,온보딩 세션 상태: COMPLETED,onboarding_session.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.status,DECLINED,온보딩 세션 상태: DECLINED,onboarding_session.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.status,CANCELLED,온보딩 세션 상태: CANCELLED,onboarding_session.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_session.status,EXPIRED,온보딩 세션 상태: EXPIRED,onboarding_session.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.answered_channel,APP,실제 답변 채널: APP,onboarding_answer.answered_channel의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.answered_channel,ROBOT,실제 답변 채널: ROBOT,onboarding_answer.answered_channel의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.verification_status,UNVERIFIED,확인 상태: UNVERIFIED,onboarding_answer.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.verification_status,AUTO_ACCEPTED,확인 상태: AUTO_ACCEPTED,onboarding_answer.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.verification_status,USER_CONFIRMED,확인 상태: USER_CONFIRMED,onboarding_answer.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.verification_status,GUARDIAN_CONFIRMED,확인 상태: GUARDIAN_CONFIRMED,onboarding_answer.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
onboarding_answer.verification_status,REJECTED,확인 상태: REJECTED,onboarding_answer.verification_status의 상태·분기 판단,검색·반영에서 제외
memory.verification_status,UNVERIFIED,확인 상태: UNVERIFIED,memory.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.verification_status,AUTO_ACCEPTED,확인 상태: AUTO_ACCEPTED,memory.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.verification_status,USER_CONFIRMED,확인 상태: USER_CONFIRMED,memory.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.verification_status,GUARDIAN_CONFIRMED,확인 상태: GUARDIAN_CONFIRMED,memory.verification_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.verification_status,REJECTED,확인 상태: REJECTED,memory.verification_status의 상태·분기 판단,검색·반영에서 제외
scenario.scenario_type,HOMECOMING,시나리오 유형: HOMECOMING,scenario.scenario_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.scenario_type,WELLNESS_CHECK,시나리오 유형: WELLNESS_CHECK,scenario.scenario_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.scenario_type,MEDICATION_REMINDER,시나리오 유형: MEDICATION_REMINDER,scenario.scenario_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.scenario_type,WAKE_WORD_CALL,시나리오 유형: WAKE_WORD_CALL,scenario.scenario_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.scenario_type,FALL_RESPONSE,시나리오 유형: FALL_RESPONSE,scenario.scenario_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.scenario_type,MANUAL_INTERACTION,시나리오 유형: MANUAL_INTERACTION,scenario.scenario_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,RECEIVED,시나리오 진행·종료 상태: RECEIVED,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,NAVIGATING,시나리오 진행·종료 상태: NAVIGATING,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,MOVING_TO_ENTRANCE,시나리오 진행·종료 상태: MOVING_TO_ENTRANCE,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,CHECKING_INTERACTION,시나리오 진행·종료 상태: CHECKING_INTERACTION,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,CONVERSING,시나리오 진행·종료 상태: CONVERSING,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,RETURN_DECISION,시나리오 진행·종료 상태: RETURN_DECISION,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,RETURNING_TO_DEFAULT,시나리오 진행·종료 상태: RETURNING_TO_DEFAULT,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,COMPLETED,시나리오 진행·종료 상태: COMPLETED,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,FAILED,시나리오 진행·종료 상태: FAILED,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,CANCELLED,시나리오 진행·종료 상태: CANCELLED,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
scenario.final_status,TIMED_OUT,시나리오 진행·종료 상태: TIMED_OUT,scenario.final_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,RECEIVED,웨이크 트리거 처리 결정: RECEIVED,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,ACCEPTED,웨이크 트리거 처리 결정: ACCEPTED,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,REJECTED_UNKNOWN_ROBOT,웨이크 트리거 처리 결정: REJECTED_UNKNOWN_ROBOT,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,REJECTED_INACTIVE_ROBOT,웨이크 트리거 처리 결정: REJECTED_INACTIVE_ROBOT,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,REJECTED_UNASSIGNED_ROBOT,웨이크 트리거 처리 결정: REJECTED_UNASSIGNED_ROBOT,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,REJECTED_SAFE_STOP,웨이크 트리거 처리 결정: REJECTED_SAFE_STOP,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,REJECTED_ACTIVE_SCENARIO,웨이크 트리거 처리 결정: REJECTED_ACTIVE_SCENARIO,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
wake_word_trigger_receipt.disposition,REJECTED_BUSY_MODE,웨이크 트리거 처리 결정: REJECTED_BUSY_MODE,동일 eventId 재수신의 영속 처리 결정,RECEIVED를 최종 성공으로 처리하지 않음
conversation.status,OPEN,대화 상태: OPEN,conversation.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation.status,COMPLETED,대화 상태: COMPLETED,conversation.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation.status,FAILED,대화 상태: FAILED,conversation.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation.status,CANCELLED,대화 상태: CANCELLED,conversation.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation_message.role,SENIOR,발화자: SENIOR,conversation_message.role의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation_message.role,ROBOT,발화자: ROBOT,conversation_message.role의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation_summary.summary_type,CONVERSATION,요약 범위: CONVERSATION,conversation_summary.summary_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
conversation_summary.summary_type,DAILY,요약 범위: DAILY,conversation_summary.summary_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.source_type,ONBOARDING_ANSWER,후보 출처: ONBOARDING_ANSWER,fact_candidate.source_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.source_type,CONVERSATION_MESSAGE,후보 출처: CONVERSATION_MESSAGE,fact_candidate.source_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.target_domain,PROFILE,최종 대상 도메인: PROFILE,fact_candidate.target_domain의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.target_domain,CARE_RELATIONSHIP,최종 대상 도메인: CARE_RELATIONSHIP,fact_candidate.target_domain의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.target_domain,MEMORY,최종 대상 도메인: MEMORY,fact_candidate.target_domain의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.target_domain,CARE_RECORD,최종 대상 도메인: CARE_RECORD,fact_candidate.target_domain의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.operation,CREATE,요청 연산: CREATE,fact_candidate.operation의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.operation,UPDATE,요청 연산: UPDATE,fact_candidate.operation의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.operation,CANCEL,요청 연산: CANCEL,fact_candidate.operation의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.risk_level,NORMAL,후보 위험도: NORMAL,fact_candidate.risk_level의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.risk_level,SENSITIVE,후보 위험도: SENSITIVE,fact_candidate.risk_level의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.risk_level,HIGH,후보 위험도: HIGH,fact_candidate.risk_level의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,CAPTURED,후보 처리 상태: CAPTURED,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,NEEDS_CLARIFICATION,후보 처리 상태: NEEDS_CLARIFICATION,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,NEEDS_CONFIRMATION,후보 처리 상태: NEEDS_CONFIRMATION,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,COORDINATION_REQUIRED,후보 처리 상태: COORDINATION_REQUIRED,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,CONFIRMED,후보 처리 상태: CONFIRMED,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,MATERIALIZED,후보 처리 상태: MATERIALIZED,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,REJECTED,후보 처리 상태: REJECTED,fact_candidate.status의 상태·분기 판단,검색·반영에서 제외
fact_candidate.status,EXPIRED,후보 처리 상태: EXPIRED,fact_candidate.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.status,CANCELLED_BY_SENIOR,어르신 요청 취소,어르신 본인이 '기억하지 마'로 닫은 미확정 후보. 재질의·확인요청·검색·반영에서 제외한다. REJECTED(보호자·시스템 거절)와 구분한다 — 누가 왜 닫았는지가 T4 신뢰의 근거다.,
fact_candidate.clarification_reason,MISSING_REQUIRED_FIELD,재질의 사유: MISSING_REQUIRED_FIELD,fact_candidate.clarification_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.clarification_reason,AMBIGUOUS_VALUE,재질의 사유: AMBIGUOUS_VALUE,fact_candidate.clarification_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.clarification_reason,LOW_RECOGNITION_CONFIDENCE,재질의 사유: LOW_RECOGNITION_CONFIDENCE,fact_candidate.clarification_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.clarification_reason,CONFLICT_WITH_EXISTING_DATA,재질의 사유: CONFLICT_WITH_EXISTING_DATA,fact_candidate.clarification_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.clarification_reason,SENSITIVE_INFORMATION_CONFIRMATION,재질의 사유: SENSITIVE_INFORMATION_CONFIRMATION,fact_candidate.clarification_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,NOT_REQUIRED,협의 상태: NOT_REQUIRED,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,COORDINATION_REQUIRED,협의 상태: COORDINATION_REQUIRED,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,WAITING_PRIMARY_GUARDIAN,협의 상태: WAITING_PRIMARY_GUARDIAN,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,WAITING_SENIOR,협의 상태: WAITING_SENIOR,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,AGREED,협의 상태: AGREED,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,DISAGREED,협의 상태: DISAGREED,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,SENIOR_UNREACHABLE,협의 상태: SENIOR_UNREACHABLE,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,GUARDIAN_OVERRIDE_CONFIRMED,협의 상태: GUARDIAN_OVERRIDE_CONFIRMED,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.coordination_status,COMPLETED,협의 상태: COMPLETED,fact_candidate.coordination_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.senior_position,NOT_REQUESTED,시니어 입장: NOT_REQUESTED,fact_candidate.senior_position의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.senior_position,PENDING,시니어 입장: PENDING,fact_candidate.senior_position의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.senior_position,AGREED,시니어 입장: AGREED,fact_candidate.senior_position의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.senior_position,DISAGREED,시니어 입장: DISAGREED,fact_candidate.senior_position의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.senior_position,UNREACHABLE,시니어 입장: UNREACHABLE,fact_candidate.senior_position의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.primary_guardian_decision,PENDING,PRIMARY 결정: PENDING,fact_candidate.primary_guardian_decision의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.primary_guardian_decision,CONFIRMED_EXISTING_VALUE,PRIMARY 결정: CONFIRMED_EXISTING_VALUE,fact_candidate.primary_guardian_decision의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.primary_guardian_decision,CONFIRMED_PROPOSED_VALUE,PRIMARY 결정: CONFIRMED_PROPOSED_VALUE,fact_candidate.primary_guardian_decision의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.primary_guardian_decision,REVISED_VALUE,PRIMARY 결정: REVISED_VALUE,fact_candidate.primary_guardian_decision의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.primary_guardian_decision,CANCELLED_CHANGE,PRIMARY 결정: CANCELLED_CHANGE,fact_candidate.primary_guardian_decision의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.unreachable_reason,NO_RESPONSE,연락 불가 사유: NO_RESPONSE,fact_candidate.unreachable_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.unreachable_reason,PHONE_UNAVAILABLE,연락 불가 사유: PHONE_UNAVAILABLE,fact_candidate.unreachable_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.unreachable_reason,TEMPORARY_HEALTH_CONDITION,연락 불가 사유: TEMPORARY_HEALTH_CONDITION,fact_candidate.unreachable_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.unreachable_reason,COMMUNICATION_DIFFICULTY,연락 불가 사유: COMMUNICATION_DIFFICULTY,fact_candidate.unreachable_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
fact_candidate.unreachable_reason,OTHER,연락 불가 사유: OTHER,fact_candidate.unreachable_reason의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,PERSONAL_RELATIONSHIP,장기 기억 유형: PERSONAL_RELATIONSHIP,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,PREFERENCE,장기 기억 유형: PREFERENCE,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,HOBBY,장기 기억 유형: HOBBY,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,DAILY_ROUTINE,장기 기억 유형: DAILY_ROUTINE,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,LIFE_EVENT,장기 기억 유형: LIFE_EVENT,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,FAMILY_MEMORY,장기 기억 유형: FAMILY_MEMORY,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,EMOTIONAL_EVENT,장기 기억 유형: EMOTIONAL_EVENT,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.memory_type,OTHER,장기 기억 유형: OTHER,memory.memory_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.lifecycle_status,ACTIVE,기억 수명: ACTIVE,memory.lifecycle_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.lifecycle_status,DISPUTED,기억 수명: DISPUTED,memory.lifecycle_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.lifecycle_status,SUPERSEDED,기억 수명: SUPERSEDED,memory.lifecycle_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.lifecycle_status,EXPIRED,기억 수명: EXPIRED,memory.lifecycle_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.lifecycle_status,DELETED,기억 수명: DELETED,memory.lifecycle_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.visibility,PRIVATE,기억 공개 범위: PRIVATE,memory.visibility의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.visibility,SHARED_WITH_PRIMARY,기억 공개 범위: SHARED_WITH_PRIMARY,memory.visibility의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
memory.visibility,SHARED_WITH_GUARDIANS,기억 공개 범위: SHARED_WITH_GUARDIANS,memory.visibility의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,HEALTH_CONDITION,돌봄 기록 유형: HEALTH_CONDITION,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,ALLERGY,돌봄 기록 유형: ALLERGY,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,PHYSICAL_LIMITATION,돌봄 기록 유형: PHYSICAL_LIMITATION,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,MEDICATION,돌봄 기록 유형: MEDICATION,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,MEDICATION_SCHEDULE,돌봄 기록 유형: MEDICATION_SCHEDULE,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,MEDICATION_REMINDER,돌봄 기록 유형: MEDICATION_REMINDER,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
care_record.record_type,MEDICATION_TAKEN,돌봄 기록 유형: MEDICATION_TAKEN,care_record.record_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
